"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Retrieve locations filtered by location status","1095","GetLocationsByStatus","Megaport API Test Suite","Sat Mar 22 12:52:18 GMT 2025","passed","Sat Mar 22 12:52:19 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByStatus"
"Retrieves locations filtered by Vendor","1317","GetLocationsByVendor","Megaport API Test Suite","Sat Mar 22 12:52:26 GMT 2025","passed","Sat Mar 22 12:52:28 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByVendor"
"Filter locations by combination of vendor, status, and metro","1057","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:52 GMT 2025","passed","Sat Mar 22 12:51:53 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Retrieves locations filtered by Vendor","1140","GetLocationsByVendor","Megaport API Test Suite","Sat Mar 22 12:52:25 GMT 2025","passed","Sat Mar 22 12:52:26 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByVendor"
"Filter locations by combination of vendor, status, and metro","1085","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:53 GMT 2025","passed","Sat Mar 22 12:51:54 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Retrieves locations filtered by Vendor","1111","GetLocationsByVendor","Megaport API Test Suite","Sat Mar 22 12:52:21 GMT 2025","passed","Sat Mar 22 12:52:22 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByVendor"
"Filter locations by combination of vendor, status, and metro","1096","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:52:03 GMT 2025","passed","Sat Mar 22 12:52:04 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1077","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:56 GMT 2025","passed","Sat Mar 22 12:51:57 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1102","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:48 GMT 2025","passed","Sat Mar 22 12:51:49 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1102","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:49 GMT 2025","passed","Sat Mar 22 12:51:50 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter Location by metro","1106","GetLocationsByMetro","Megaport API Test Suite","Sat Mar 22 12:52:11 GMT 2025","passed","Sat Mar 22 12:52:13 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByMetro"
"Filter locations by combination of vendor, status, and metro","1064","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:58 GMT 2025","passed","Sat Mar 22 12:52:00 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Retrieves all public locations without any filters","5435","GetAllPublicLocations","Megaport API Test Suite","Sat Mar 22 12:51:41 GMT 2025","passed","Sat Mar 22 12:51:46 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetAllPublicLocations"
"Filter locations by combination of vendor, status, and metro","1092","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:50 GMT 2025","passed","Sat Mar 22 12:51:51 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1100","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:52:02 GMT 2025","passed","Sat Mar 22 12:52:03 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
"Filter locations by combination of vendor, status, and metro","1225","GetLocationsByCombinationFilter","Megaport API Test Suite","Sat Mar 22 12:51:46 GMT 2025","passed","Sat Mar 22 12:51:48 GMT 2025","com.megaport.api.v2.Locations","Locations API Tests","com.megaport.api.v2.Locations","GetLocationsByCombinationFilter"
